"Name","DisplayName","Status","StartType","Time"
"edgeupdatem","Microsoft Edge Update Service (edgeupdatem)","Stopped","Manual","12-Sun-2024 10:43"
"EFS","Encrypting File System (EFS)","Running","Manual","12-Sun-2024 10:43"
"embeddedmode","Embedded Mode","Stopped","Manual","12-Sun-2024 10:43"
"EntAppSvc","Enterprise App Management Service","Stopped","Manual","12-Sun-2024 10:43"
"EventLog","Windows Event Log","Running","Automatic","12-Sun-2024 10:43"
"EventSystem","COM+ Event System","Running","Automatic","12-Sun-2024 10:43"
"fdPHost","Function Discovery Provider Host","Running","Manual","12-Sun-2024 10:43"
"FDResPub","Function Discovery Resource Publication","Running","Manual","12-Sun-2024 10:43"
"fhsvc","File History Service","Stopped","Manual","12-Sun-2024 10:43"
"FontCache","Windows Font Cache Service","Running","Automatic","12-Sun-2024 10:43"
"FontCache3.0.0.0","Windows Presentation Foundation Font Cache 3.0.0.0","Stopped","Manual","12-Sun-2024 10:43"
"FrameServer","Windows Camera Frame Server","Stopped","Manual","12-Sun-2024 10:43"
"FrameServerMonitor","Windows Camera Frame Server Monitor","Stopped","Manual","12-Sun-2024 10:43"
"FvSvc","NVIDIA FrameView SDK service","Stopped","Manual","12-Sun-2024 10:43"
"GameInputSvc","GameInput Service","Stopped","Manual","12-Sun-2024 10:43"
"GBTECService","GBTECService","Stopped","Automatic","12-Sun-2024 10:43"
"GigabyteUpdateService","GIGABYTE Update Service","Running","Automatic","12-Sun-2024 10:43"
"gpsvc","Group Policy Client","Running","Automatic","12-Sun-2024 10:43"
"GraphicsPerfSvc","GraphicsPerfSvc","Stopped","Manual","12-Sun-2024 10:43"
"HgClientService","Host Guardian Client Service","Stopped","Manual","12-Sun-2024 10:43"
"hidserv","Human Interface Device Service","Running","Manual","12-Sun-2024 10:43"
"hns","Host Network Service","Running","Manual","12-Sun-2024 10:43"
"HvHost","HV Host Service","Running","Manual","12-Sun-2024 10:43"
"icssvc","Windows Mobile Hotspot Service","Stopped","Manual","12-Sun-2024 10:43"
"IKEEXT","IKE and AuthIP IPsec Keying Modules","Stopped","Manual","12-Sun-2024 10:43"
"InstallService","Microsoft Store Install Service","Running","Manual","12-Sun-2024 10:43"
"Intel(R) Platform License Manager Service","Intel(R) Platform License Manager Service","Stopped","Automatic","12-Sun-2024 10:43"
"InventorySvc","Inventory and Compatibility Appraisal service","Running","Automatic","12-Sun-2024 10:43"
"iphlpsvc","IP Helper","Running","Automatic","12-Sun-2024 10:43"
"IpxlatCfgSvc","IP Translation Configuration Service","Stopped","Manual","12-Sun-2024 10:43"
"jhi_service","Intel(R) Dynamic Application Loader Host Interface Service","Running","Automatic","12-Sun-2024 10:43"
"KeyIso","CNG Key Isolation","Running","Manual","12-Sun-2024 10:43"
"KtmRm","KtmRm for Distributed Transaction Coordinator","Stopped","Manual","12-Sun-2024 10:43"
"LanmanServer","Server","Running","Automatic","12-Sun-2024 10:43"
"LanmanWorkstation","Workstation","Running","Automatic","12-Sun-2024 10:43"
"lfsvc","Geolocation Service","Running","Manual","12-Sun-2024 10:43"
"LicenseManager","Windows License Manager Service","Stopped","Manual","12-Sun-2024 10:43"
"lltdsvc","Link-Layer Topology Discovery Mapper","Stopped","Manual","12-Sun-2024 10:43"
"lmhosts","TCP/IP NetBIOS Helper","Running","Manual","12-Sun-2024 10:43"
"LocalKdc","Kerberos Local Key Distribution Center","Stopped","Manual","12-Sun-2024 10:43"
"logi_lamparray_service","Logitech LampArray Service","Running","Automatic","12-Sun-2024 10:43"
"LSM","Local Session Manager","Running","Automatic","12-Sun-2024 10:43"
"LxpSvc","Language Experience Service","Stopped","Manual","12-Sun-2024 10:43"
"MapsBroker","Downloaded Maps Manager","Stopped","Automatic","12-Sun-2024 10:43"
"McpManagementService","McpManagementService","Stopped","Manual","12-Sun-2024 10:43"
"MDCoreSvc","Microsoft Defender Core Service","Running","Automatic","12-Sun-2024 10:43"
"MessagingService_9ed9e","MessagingService_9ed9e","Stopped","Manual","12-Sun-2024 10:43"
"MicrosoftEdgeElevationService","Microsoft Edge Elevation Service (MicrosoftEdgeElevationService)","Stopped","Manual","12-Sun-2024 10:43"
"mpssvc","Windows Defender Firewall","Running","Automatic","12-Sun-2024 10:43"
"MSDTC","Distributed Transaction Coordinator","Stopped","Manual","12-Sun-2024 10:43"
"MSiSCSI","Microsoft iSCSI Initiator Service","Stopped","Manual","12-Sun-2024 10:43"
"msiserver","Windows Installer","Stopped","Manual","12-Sun-2024 10:43"
"MsKeyboardFilter","Microsoft Keyboard Filter","Stopped","Disabled","12-Sun-2024 10:43"
"NaturalAuthentication","Natural Authentication","Stopped","Manual","12-Sun-2024 10:43"
"NcaSvc","Network Connectivity Assistant","Stopped","Manual","12-Sun-2024 10:43"
"NcbService","Network Connection Broker","Running","Manual","12-Sun-2024 10:43"
"NcdAutoSetup","Network Connected Devices Auto-Setup","Running","Manual","12-Sun-2024 10:43"
"Netlogon","Netlogon","Stopped","Manual","12-Sun-2024 10:43"
"Netman","Network Connections","Stopped","Manual","12-Sun-2024 10:43"
"netprofm","Network List Service","Running","Manual","12-Sun-2024 10:43"
